Student No.,Hours spent studying in a day,Mathematics score,English score,Science score
1,11,44,39.6,35.2
2,19,76,68.4,60.8
3,4,16,14.4,12.8
4,24,96,86.4,76.8
5,4,16,14.4,12.8
6,9,36,32.4,28.8
7,8,32,28.8,25.6
8,9,36,32.4,28.8
9,4,16,14.4,12.8
10,10,40,36,32
11,12,48,43.2,38.4
12,19,76,68.4,60.8
13,21,84,75.6,67.2
14,1,4,3.6,3.2
15,21,84,75.6,67.2
16,18,72,64.8,57.6
17,15,60,54,48
18,4,16,14.4,12.8
19,20,-5,72,64
20,8,32,28.8,25.6
21,9,36,32.4,28.8
22,8,32,28.8,25.6
23,21,84,75.6,67.2
24,9,36,32.4,28.8
25,19,76,68.4,60.8
26,10,40,36,32
27,7,28,25.2,22.4
28,11,44,39.6,35.2
29,9,-20,32.4,28.8
30,15,60,54,48
31,10,40,36,32
32,2,8,7.2,6.4
33,35,140,126,112
34,13,52,46.8,41.6
35,20,80,72,64
36,9,36,32.4,28.8
37,16,64,57.6,51.2
38,3,12,10.8,9.6
39,13,52,46.8,41.6
40,12,48,43.2,38.4
41,11,44,39.6,35.2
42,20,80,72,64
43,4,16,14.4,12.8
44,1,4,3.6,3.2
45,9,36,32.4,28.8
46,23,92,82.8,73.6
47,12,48,43.2,38.4
48,2,8,7.2,6.4
49,24,96,86.4,76.8
50,19,76,68.4,60.8
51,1,4,3.6,3.2
52,0,0,0,0
53,16,64,57.6,51.2
54,18,72,64.8,57.6
55,0,0,0,0
56,3,12,10.8,9.6
57,7,28,25.2,22.4
58,5,20,18,16
59,0,0,0,0
60,14,56,50.4,44.8
61,8,32,28.8,25.6
62,18,72,64.8,57.6
63,13,52,46.8,41.6
64,6,24,21.6,19.2
65,6,24,21.6,19.2
66,20,80,72,64
67,12,48,43.2,38.4
68,-10,-40,-36,-32
69,17,68,61.2,54.4
70,14,56,50.4,44.8
71,14,56,50.4,44.8
72,15,60,54,48
73,7,28,25.2,22.4
74,10,40,130,32
75,13,52,-10,41.6
76,23,92,82.8,73.6
77,18,72,64.8,57.6
78,23,92,82.8,73.6
79,6,24,21.6,19.2
80,4,16,14.4,12.8
81,22,88,79.2,70.4
82,9,36,32.4,28.8
83,8,32,28.8,25.6
84,13,52,46.8,41.6
85,4,16,14.4,12.8
86,2,8,7.2,6.4
87,12,48,43.2,38.4
88,9,36,32.4,28.8
89,4,16,14.4,12.8
90,12,48,43.2,38.4
91,11,44,39.6,35.2
92,7,28,25.2,22.4
93,14,56,50.4,44.8
94,6,24,21.6,19.2
95,22,88,79.2,70.4
96,17,68,61.2,54.4
97,0,0,0,0
98,15,60,54,48
99,13,52,46.8,41.6
100,11,44,39.6,35.2
101,23,92,82.8,73.6
102,17,68,61.2,54.4
103,3,12,10.8,9.6
104,15,60,54,48
105,0,0,0,0
106,1,4,3.6,3.2
107,24,96,86.4,76.8
108,7,28,25.2,22.4
109,0,0,0,0
110,21,84,75.6,67.2
111,24,96,86.4,76.8
112,19,76,68.4,60.8
113,0,0,0,0
114,22,88,79.2,70.4
115,24,96,86.4,76.8
116,14,56,50.4,44.8
117,23,92,82.8,73.6
118,20,80,72,64
119,14,56,50.4,44.8
120,20,80,72,64
121,9,150,32.4,28.8
122,0,175,0,0
123,24,96,86.4,76.8
124,5,20,18,16
125,2,8,7.2,6.4
126,1,4,3.6,3.2
127,11,44,39.6,35.2
128,15,60,54,48
129,22,88,79.2,70.4
130,23,92,82.8,73.6
131,23,92,82.8,73.6
132,22,88,79.2,70.4
133,22,88,79.2,70.4
134,14,56,50.4,44.8
135,8,32,28.8,25.6
136,2,8,7.2,6.4
137,3,12,10.8,9.6
138,12,48,43.2,38.4
139,11,44,39.6,35.2
140,15,60,54,48
141,9,36,32.4,28.8
142,15,60,54,48
143,24,96,86.4,76.8
144,13,52,46.8,41.6
145,22,88,79.2,70.4
146,17,68,61.2,54.4
147,7,28,25.2,22.4
148,4,16,14.4,12.8
149,7,28,25.2,22.4
150,8,32,28.8,25.6
151,3,12,10.8,9.6
152,3,12,10.8,9.6
153,24,96,86.4,76.8
154,6,24,21.6,19.2
155,18,72,64.8,57.6
156,23,92,82.8,73.6
157,5,20,18,16
158,15,60,54,48
159,15,60,54,48
160,7,28,25.2,22.4
161,20,80,72,64
162,4,16,14.4,12.8
163,16,64,57.6,51.2
164,4,16,14.4,12.8
165,14,56,50.4,44.8
166,12,48,43.2,38.4
167,10,40,36,32
168,22,88,79.2,70.4
169,16,64,57.6,51.2
170,6,24,21.6,19.2
171,0,0,0,0
172,6,24,21.6,19.2
173,10,40,36,32
174,13,52,46.8,41.6
175,19,76,68.4,60.8
176,24,96,86.4,76.8
177,2,8,7.2,6.4
178,18,72,64.8,57.6
179,2,8,7.2,6.4
180,11,44,39.6,35.2
181,19,76,68.4,60.8
182,18,72,64.8,57.6
183,10,40,36,32
184,15,60,54,48
185,5,20,18,16
186,24,96,86.4,76.8
187,5,20,18,16
188,16,64,57.6,51.2
189,4,16,14.4,12.8
190,11,44,39.6,35.2
191,24,96,86.4,76.8
192,24,96,86.4,76.8
193,12,48,43.2,38.4
194,15,60,54,48
195,2,8,7.2,6.4
196,12,48,43.2,38.4
197,6,24,21.6,19.2
198,11,44,39.6,35.2
199,19,76,68.4,60.8
200,8,32,28.8,25.6
201,1,4,3.6,3.2
202,7,28,25.2,22.4
203,1,4,3.6,3.2
204,21,84,75.6,67.2
205,0,0,0,0
206,4,16,14.4,12.8
207,7,28,25.2,22.4
208,22,88,79.2,70.4
209,22,88,79.2,70.4
210,18,72,64.8,57.6
211,11,44,39.6,35.2
212,9,36,32.4,28.8
213,15,60,54,48
214,5,20,18,16
215,14,56,50.4,44.8
216,22,88,79.2,70.4
